GemID,Mismatch_Score,Missing_Count,Extra_Count
140B,2.0,2,1
189B,2.0,2,1
214B,2.0,2,1
416B,2.0,2,1
C0011B,2.0,2,1
C0000B,2.0,2,1
199B,2.0,2,1
197B,4.0,2,1
193B,4.0,2,1
453B,6.0,2,3
194B,7.0,2,2
363B,7.0,2,2
413B,7.0,2,2
361B,7.0,2,2
218B,7.0,2,2
190B,7.0,2,2
C0040B,12.0,2,3
