gem_id,light_source,wavelength,intensity,feature,feature_group,point_type,snr,analysis_date,normalization_scheme,reference_wavelength,symmetry_ratio,width_nm,prominence,category,file_source,import_timestamp
197LP3_laser_structural,Laser,576.52,5.34,Peak_Max,Peak,Max,,2025-09-25,Laser_Max_50000_to_100,452.462,,,,,197LP3_laser_structural_20250925_220238.csv,2025-09-25 19:03:10
197UC1_uv_structural_auto,UV,922.727,2.102,Peak_33,UV_Auto_Detection,Peak,,2025-09-25,UV_811nm_15000_to_100_UPDATED,811.0,,,1.455,Major,197UC1_uv_structural_auto_20250925_210353.csv,2025-09-30 05:52:52
197UC2_uv_structural_auto,UV,922.523,1.895,Peak_30,UV_Auto_Detection,Peak,,2025-09-25,UV_811nm_15000_to_100_UPDATED,811.0,,,1.469,Major,197UC2_uv_structural_auto_20250925_212823.csv,2025-09-30 05:52:52
197UP1_uv_structural_auto,UV,922.727,1.009,Peak_29,UV_Auto_Detection,Peak,,2025-09-25,UV_811nm_15000_to_100_UPDATED,811.0,,,0.782,Major,197UP1_uv_structural_auto_20250925_215848.csv,2025-09-30 05:52:52
199BC3_halogen_structural,Halogen,656.35,99.65,Mound_Summary,Mound,Summary,,2025-09-25,Halogen_650nm_50000_to_100,652.17,0.943,589.04,,,199BC3_halogen_structural_20250925_235838.csv,2025-09-25 20:59:14
214BC1_halogen_structural,Halogen,688.4,99.33,Mound_Summary,Mound,Summary,,2025-08-22,Halogen_650nm_50000_to_100,654.755,1.13,566.52,,,214BC1_halogen_structural_20250822_093241.csv,2025-09-25 14:19:42
214BC2_halogen_structural,Halogen,660.68,98.68,Mound_Summary,Mound,Summary,,2025-08-22,Halogen_650nm_50000_to_100,652.17,0.951,582.98,,,214BC2_halogen_structural_20250822_093328.csv,2025-09-25 14:19:42
214BC3_halogen_structural,Halogen,666.74,99.14,Mound_Summary,Mound,Summary,,2025-08-22,Halogen_650nm_50000_to_100,654.954,0.967,565.65,,,214BC3_halogen_structural_20250822_093508.csv,2025-09-25 14:19:42
214BC4_halogen_structural,Halogen,671.08,97.72,Mound_Summary,Mound,Summary,,2025-08-22,Halogen_650nm_50000_to_100,652.17,1.042,553.53,,,214BC4_halogen_structural_20250822_093928.csv,2025-09-25 14:19:42
214BP1_halogen_structural,Halogen,694.46,98.75,Mound_Summary,Mound,Summary,,2025-08-22,Halogen_650nm_50000_to_100,654.954,1.114,578.65,,,214BP1_halogen_structural_20250822_093548.csv,2025-09-25 14:19:42
214BP2_halogen_structural,Halogen,680.6,99.73,Mound_Summary,Mound,Summary,,2025-08-22,Halogen_650nm_50000_to_100,654.954,1.015,595.11,,,214BP2_halogen_structural_20250822_093626.csv,2025-09-25 14:19:42
