Peak_Number,Wavelength_nm,Intensity,Prominence,Category,Normalization_Scheme,Reference_Wavelength,Light_Source
1,435.642,100.000,97.521,Minor,UV_811nm_15000_to_100,811.0,UV
2,545.916,84.094,81.233,Minor,UV_811nm_15000_to_100,811.0,UV
3,507.027,49.335,47.857,Minor,UV_811nm_15000_to_100,811.0,UV
4,811.028,30.095,29.316,Minor,UV_811nm_15000_to_100,811.0,UV
5,404.380,29.345,27.908,Medium,UV_811nm_15000_to_100,811.0,UV
6,763.370,27.217,25.535,Medium,UV_811nm_15000_to_100,811.0,UV
7,364.895,16.852,16.108,Medium,UV_811nm_15000_to_100,811.0,UV
8,578.802,13.146,12.523,Medium,UV_811nm_15000_to_100,811.0,UV
9,576.848,11.007,3.824,Medium,UV_811nm_15000_to_100,811.0,UV
10,751.038,10.536,10.173,Medium,UV_811nm_15000_to_100,811.0,UV
11,801.074,9.700,9.117,Medium,UV_811nm_15000_to_100,811.0,UV
12,841.751,9.431,9.037,Medium,UV_811nm_15000_to_100,811.0,UV
13,772.074,9.155,8.435,Strong,UV_811nm_15000_to_100,811.0,UV
14,738.321,8.562,7.728,Strong,UV_811nm_15000_to_100,811.0,UV
15,794.577,7.166,6.133,Strong,UV_811nm_15000_to_100,811.0,UV
16,696.495,7.106,6.338,Strong,UV_811nm_15000_to_100,811.0,UV
17,706.525,6.088,5.566,Strong,UV_811nm_15000_to_100,811.0,UV
18,313.024,5.610,5.578,Strong,UV_811nm_15000_to_100,811.0,UV
19,407.505,4.688,1.060,Strong,UV_811nm_15000_to_100,811.0,UV
20,729.855,3.586,3.002,Strong,UV_811nm_15000_to_100,811.0,UV
21,825.873,3.203,2.808,Strong,UV_811nm_15000_to_100,811.0,UV
22,912.316,3.101,2.943,Strong,UV_811nm_15000_to_100,811.0,UV
23,625.995,3.084,2.752,Strong,UV_811nm_15000_to_100,811.0,UV
24,760.740,2.379,1.028,Strong,UV_811nm_15000_to_100,811.0,UV
25,871.099,2.092,1.862,Strong,UV_811nm_15000_to_100,811.0,UV
26,851.529,2.020,1.726,Major,UV_811nm_15000_to_100,811.0,UV
27,727.237,1.795,0.785,Major,UV_811nm_15000_to_100,811.0,UV
28,419.680,1.422,0.622,Major,UV_811nm_15000_to_100,811.0,UV
29,543.979,1.274,0.286,Major,UV_811nm_15000_to_100,811.0,UV
30,415.799,1.182,0.272,Major,UV_811nm_15000_to_100,811.0,UV
31,593.295,1.038,0.700,Major,UV_811nm_15000_to_100,811.0,UV
32,426.719,1.036,0.326,Major,UV_811nm_15000_to_100,811.0,UV
33,714.561,1.019,0.555,Major,UV_811nm_15000_to_100,811.0,UV
34,296.830,0.836,0.716,Major,UV_811nm_15000_to_100,811.0,UV
35,604.101,0.750,0.434,Major,UV_811nm_15000_to_100,811.0,UV
36,922.523,0.740,0.554,Major,UV_811nm_15000_to_100,811.0,UV
37,668.500,0.663,0.298,Major,UV_811nm_15000_to_100,811.0,UV
38,675.086,0.616,0.219,Major,UV_811nm_15000_to_100,811.0,UV
39,491.381,0.569,0.371,Major,UV_811nm_15000_to_100,811.0,UV
40,866.205,0.565,0.310,Major,UV_811nm_15000_to_100,811.0,UV
41,302.210,0.551,0.420,Major,UV_811nm_15000_to_100,811.0,UV
42,334.158,0.551,0.465,Major,UV_811nm_15000_to_100,811.0,UV
