Feature,File,Light_Source,Wavelength,Intensity,Point_Type,Feature_Group,Processing,SNR,Feature_Key,Baseline_Used,Norm_Factor,Normalization_Method,Reference_Wavelength_Used,Symmetry_Ratio,Skew_Description,Width_nm,Normalization_Scheme,Reference_Wavelength,Intensity_Range_Min,Intensity_Range_Max
Baseline_Start,214BP3.txt,Halogen,302.06,104.25,Start,Baseline,Baseline_Then_Halogen_Normalized,8.6,Baseline_0,107.33,11.441713053278336,halogen_650nm_50000_to_100,,,,,Halogen_650nm_50000_to_100,654.755,0.0,100.0
Baseline_End,214BP3.txt,Halogen,345.37,131.47,End,Baseline,Baseline_Then_Halogen_Normalized,8.6,Baseline_0,107.33,11.441713053278336,halogen_650nm_50000_to_100,,,,,Halogen_650nm_50000_to_100,654.755,0.0,100.0
Mound_Start,214BP3.txt,Halogen,382.62,1.33,Start,Mound,Baseline_Then_Halogen_Normalized,,Mound_2,107.33,11.441713053278336,halogen_650nm_50000_to_100,654.755,,,,Halogen_650nm_50000_to_100,654.755,0.0,100.0
Mound_Crest,214BP3.txt,Halogen,671.08,98.56,Crest,Mound,Baseline_Then_Halogen_Normalized,,Mound_2,107.33,11.441713053278336,halogen_650nm_50000_to_100,654.755,,,,Halogen_650nm_50000_to_100,654.755,0.0,100.0
Mound_End,214BP3.txt,Halogen,943.07,0.59,End,Mound,Baseline_Then_Halogen_Normalized,,Mound_2,107.33,11.441713053278336,halogen_650nm_50000_to_100,654.755,,,,Halogen_650nm_50000_to_100,654.755,0.0,100.0
Mound_Summary,214BP3.txt,Halogen,671.08,98.56,Summary,Mound,Baseline_Then_Halogen_Normalized,,Mound_2,,,halogen_650nm_50000_to_100,,1.061,Symmetric,560.46,Halogen_650nm_50000_to_100,654.755,0.0,100.0
