Feature,File,Light_Source,Wavelength,Intensity,Point_Type,Feature_Group,Processing,SNR,Feature_Key,Baseline_Used,Norm_Factor,Normalization_Method,Reference_Wavelength_Used,Symmetry_Ratio,Skew_Description,Width_nm,Normalization_Scheme,Reference_Wavelength,Intensity_Range_Min,Intensity_Range_Max
Baseline_Start,224BP3.txt,Halogen,298.59,96.71,Start,Baseline,Baseline_Then_Halogen_Normalized,9.3,Baseline_0,105.53,23.03502060252243,halogen_650nm_50000_to_100,,,,,Halogen_650nm_50000_to_100,654.755,0.0,100.0
Baseline_End,224BP3.txt,Halogen,346.24,106.18,End,Baseline,Baseline_Then_Halogen_Normalized,9.3,Baseline_0,105.53,23.03502060252243,halogen_650nm_50000_to_100,,,,,Halogen_650nm_50000_to_100,654.755,0.0,100.0
Mound_Start,224BP3.txt,Halogen,413.8,0.4,Start,Mound,Baseline_Then_Halogen_Normalized,,Mound_2,105.53,23.03502060252243,halogen_650nm_50000_to_100,654.755,,,,Halogen_650nm_50000_to_100,654.755,0.0,100.0
Mound_Crest,224BP3.txt,Halogen,761.16,98.93,Crest,Mound,Baseline_Then_Halogen_Normalized,,Mound_2,105.53,23.03502060252243,halogen_650nm_50000_to_100,654.755,,,,Halogen_650nm_50000_to_100,654.755,0.0,100.0
Mound_End,224BP3.txt,Halogen,963.86,0.13,End,Mound,Baseline_Then_Halogen_Normalized,,Mound_2,105.53,23.03502060252243,halogen_650nm_50000_to_100,654.755,,,,Halogen_650nm_50000_to_100,654.755,0.0,100.0
Mound_Summary,224BP3.txt,Halogen,761.16,98.93,Summary,Mound,Baseline_Then_Halogen_Normalized,,Mound_2,,,halogen_650nm_50000_to_100,,1.714,Right Skewed,550.06,Halogen_650nm_50000_to_100,654.755,0.0,100.0
Trough_Start,224BP3.txt,Halogen,473.14,17.68,Start,Trough,Baseline_Then_Halogen_Normalized,,Trough_6,105.53,23.03502060252243,halogen_650nm_50000_to_100,654.755,,,,Halogen_650nm_50000_to_100,654.755,0.0,100.0
Trough_Bottom,224BP3.txt,Halogen,477.28,16.56,Bottom,Trough,Baseline_Then_Halogen_Normalized,,Trough_6,105.53,23.03502060252243,halogen_650nm_50000_to_100,654.755,,,,Halogen_650nm_50000_to_100,654.755,0.0,100.0
Trough_End,224BP3.txt,Halogen,482.03,21.48,End,Trough,Baseline_Then_Halogen_Normalized,,Trough_6,105.53,23.03502060252243,halogen_650nm_50000_to_100,654.755,,,,Halogen_650nm_50000_to_100,654.755,0.0,100.0
Mound_Start,224BP3.txt,Halogen,486.57,25.94,Start,Mound,Baseline_Then_Halogen_Normalized,,Mound_9,105.53,23.03502060252243,halogen_650nm_50000_to_100,654.755,,,,Halogen_650nm_50000_to_100,654.755,0.0,100.0
Mound_Crest,224BP3.txt,Halogen,538.54,43.4,Crest,Mound,Baseline_Then_Halogen_Normalized,,Mound_9,105.53,23.03502060252243,halogen_650nm_50000_to_100,654.755,,,,Halogen_650nm_50000_to_100,654.755,0.0,100.0
Mound_End,224BP3.txt,Halogen,617.37,28.9,End,Mound,Baseline_Then_Halogen_Normalized,,Mound_9,105.53,23.03502060252243,halogen_650nm_50000_to_100,654.755,,,,Halogen_650nm_50000_to_100,654.755,0.0,100.0
Mound_Summary,224BP3.txt,Halogen,538.54,43.4,Summary,Mound,Baseline_Then_Halogen_Normalized,,Mound_9,,,halogen_650nm_50000_to_100,,0.659,Left Skewed,130.8,Halogen_650nm_50000_to_100,654.755,0.0,100.0
Diagnostic Region_Start,224BP3.txt,Halogen,642.49,33.06,Start,Diagnostic Region,Baseline_Then_Halogen_Normalized,,Diagnostic Region_13,105.53,23.03502060252243,halogen_650nm_50000_to_100,654.755,,,,Halogen_650nm_50000_to_100,654.755,0.0,100.0
Diagnostic Region_End,224BP3.txt,Halogen,728.25,58.61,End,Diagnostic Region,Baseline_Then_Halogen_Normalized,,Diagnostic Region_13,105.53,23.03502060252243,halogen_650nm_50000_to_100,654.755,,,,Halogen_650nm_50000_to_100,654.755,0.0,100.0
Trough_Start,224BP3.txt,Halogen,735.29,65.03,Start,Trough,Baseline_Then_Halogen_Normalized,,Trough_15,105.53,23.03502060252243,halogen_650nm_50000_to_100,654.755,,,,Halogen_650nm_50000_to_100,654.755,0.0,100.0
Trough_Bottom,224BP3.txt,Halogen,740.7,62.88,Bottom,Trough,Baseline_Then_Halogen_Normalized,,Trough_15,105.53,23.03502060252243,halogen_650nm_50000_to_100,654.755,,,,Halogen_650nm_50000_to_100,654.755,0.0,100.0
Trough_End,224BP3.txt,Halogen,745.18,72.28,End,Trough,Baseline_Then_Halogen_Normalized,,Trough_15,105.53,23.03502060252243,halogen_650nm_50000_to_100,654.755,,,,Halogen_650nm_50000_to_100,654.755,0.0,100.0
