Peak_Number,Wavelength_nm,Intensity,Prominence,Category,Normalization_Scheme,Reference_Wavelength,Light_Source
1,435.642,100.000,99.534,Minor,UV_811nm_15000_to_100,811.0,UV
2,545.916,85.326,84.508,Minor,UV_811nm_15000_to_100,811.0,UV
3,763.370,28.981,28.027,Minor,UV_811nm_15000_to_100,811.0,UV
4,811.231,27.922,26.660,Minor,UV_811nm_15000_to_100,811.0,UV
5,404.380,26.770,25.212,Minor,UV_811nm_15000_to_100,811.0,UV
6,364.895,16.674,15.593,Medium,UV_811nm_15000_to_100,811.0,UV
7,578.802,13.188,12.149,Medium,UV_811nm_15000_to_100,811.0,UV
8,751.442,12.602,11.240,Medium,UV_811nm_15000_to_100,811.0,UV
9,738.321,11.418,10.324,Medium,UV_811nm_15000_to_100,811.0,UV
10,576.848,11.257,4.370,Medium,UV_811nm_15000_to_100,811.0,UV
11,772.276,10.322,8.563,Medium,UV_811nm_15000_to_100,811.0,UV
12,800.871,9.872,8.367,Medium,UV_811nm_15000_to_100,811.0,UV
13,841.954,8.473,7.523,Medium,UV_811nm_15000_to_100,811.0,UV
14,696.495,8.205,7.027,Medium,UV_811nm_15000_to_100,811.0,UV
15,794.577,7.657,5.992,Medium,UV_811nm_15000_to_100,811.0,UV
16,706.726,7.379,6.116,Strong,UV_811nm_15000_to_100,811.0,UV
17,407.505,5.317,1.315,Strong,UV_811nm_15000_to_100,811.0,UV
18,840.121,5.239,1.044,Strong,UV_811nm_15000_to_100,811.0,UV
19,730.057,4.588,3.127,Strong,UV_811nm_15000_to_100,811.0,UV
20,313.024,4.323,3.641,Strong,UV_811nm_15000_to_100,811.0,UV
21,826.076,3.738,2.573,Strong,UV_811nm_15000_to_100,811.0,UV
22,626.193,3.292,2.205,Strong,UV_811nm_15000_to_100,811.0,UV
23,912.316,3.207,2.613,Strong,UV_811nm_15000_to_100,811.0,UV
24,727.237,3.068,1.137,Strong,UV_811nm_15000_to_100,811.0,UV
25,731.870,3.065,0.289,Strong,UV_811nm_15000_to_100,811.0,UV
26,847.250,2.866,1.679,Strong,UV_811nm_15000_to_100,811.0,UV
27,826.890,2.826,0.266,Strong,UV_811nm_15000_to_100,811.0,UV
28,851.733,2.752,1.656,Strong,UV_811nm_15000_to_100,811.0,UV
29,871.303,2.674,1.769,Strong,UV_811nm_15000_to_100,811.0,UV
30,445.159,2.538,0.974,Strong,UV_811nm_15000_to_100,811.0,UV
31,415.245,2.468,0.876,Major,UV_811nm_15000_to_100,811.0,UV
32,715.164,2.459,1.006,Major,UV_811nm_15000_to_100,811.0,UV
33,798.231,2.449,0.292,Major,UV_811nm_15000_to_100,811.0,UV
34,426.348,2.393,0.544,Major,UV_811nm_15000_to_100,811.0,UV
35,419.680,2.389,0.628,Major,UV_811nm_15000_to_100,811.0,UV
36,427.090,2.369,0.243,Major,UV_811nm_15000_to_100,811.0,UV
37,428.947,2.358,0.242,Major,UV_811nm_15000_to_100,811.0,UV
38,430.247,2.302,0.302,Major,UV_811nm_15000_to_100,811.0,UV
39,769.644,2.248,0.479,Major,UV_811nm_15000_to_100,811.0,UV
40,430.805,2.237,0.274,Major,UV_811nm_15000_to_100,811.0,UV
41,420.975,2.210,0.203,Major,UV_811nm_15000_to_100,811.0,UV
42,431.548,2.191,0.319,Major,UV_811nm_15000_to_100,811.0,UV
43,424.309,2.171,0.247,Major,UV_811nm_15000_to_100,811.0,UV
44,716.772,2.163,0.534,Major,UV_811nm_15000_to_100,811.0,UV
45,852.548,2.123,0.264,Major,UV_811nm_15000_to_100,811.0,UV
46,418.016,2.117,0.218,Major,UV_811nm_15000_to_100,811.0,UV
47,702.912,2.046,0.719,Major,UV_811nm_15000_to_100,811.0,UV
48,423.753,2.032,0.267,Major,UV_811nm_15000_to_100,811.0,UV
49,757.909,2.001,0.460,Major,UV_811nm_15000_to_100,811.0,UV
50,565.339,1.998,0.941,Major,UV_811nm_15000_to_100,811.0,UV
