Feature,File,Light_Source,Wavelength,Intensity,Point_Type,Feature_Group,Processing,SNR,Feature_Key,Baseline_Used,Norm_Factor,Normalization_Method,Reference_Wavelength_Used,Symmetry_Ratio,Skew_Description,Width_nm,Normalization_Scheme,Reference_Wavelength,Intensity_Range_Min,Intensity_Range_Max
Baseline_Start,224BC5.txt,Halogen,301.19,104.15,Start,Baseline,Baseline_Then_Halogen_Normalized,9.2,Baseline_0,103.19,28.97605013552099,halogen_650nm_50000_to_100,,,,,Halogen_650nm_50000_to_100,654.755,0.0,100.0
Baseline_End,224BC5.txt,Halogen,349.7,92.27,End,Baseline,Baseline_Then_Halogen_Normalized,9.2,Baseline_0,103.19,28.97605013552099,halogen_650nm_50000_to_100,,,,,Halogen_650nm_50000_to_100,654.755,0.0,100.0
Mound_Start,224BC5.txt,Halogen,415.54,0.36,Start,Mound,Baseline_Then_Halogen_Normalized,,Mound_2,103.19,28.97605013552099,halogen_650nm_50000_to_100,654.755,,,,Halogen_650nm_50000_to_100,654.755,0.0,100.0
Mound_Crest,224BC5.txt,Halogen,762.03,98.79,Crest,Mound,Baseline_Then_Halogen_Normalized,,Mound_2,103.19,28.97605013552099,halogen_650nm_50000_to_100,654.755,,,,Halogen_650nm_50000_to_100,654.755,0.0,100.0
Mound_End,224BC5.txt,Halogen,961.27,0.24,End,Mound,Baseline_Then_Halogen_Normalized,,Mound_2,103.19,28.97605013552099,halogen_650nm_50000_to_100,654.755,,,,Halogen_650nm_50000_to_100,654.755,0.0,100.0
Mound_Summary,224BC5.txt,Halogen,762.03,98.79,Summary,Mound,Baseline_Then_Halogen_Normalized,,Mound_2,,,halogen_650nm_50000_to_100,,1.739,Right Skewed,545.73,Halogen_650nm_50000_to_100,654.755,0.0,100.0
Trough_Start,224BC5.txt,Halogen,472.89,19.01,Start,Trough,Baseline_Then_Halogen_Normalized,,Trough_6,103.19,28.97605013552099,halogen_650nm_50000_to_100,654.755,,,,Halogen_650nm_50000_to_100,654.755,0.0,100.0
Trough_Bottom,224BC5.txt,Halogen,477.27,18.11,Bottom,Trough,Baseline_Then_Halogen_Normalized,,Trough_6,103.19,28.97605013552099,halogen_650nm_50000_to_100,654.755,,,,Halogen_650nm_50000_to_100,654.755,0.0,100.0
Trough_End,224BC5.txt,Halogen,481.42,22.4,End,Trough,Baseline_Then_Halogen_Normalized,,Trough_6,103.19,28.97605013552099,halogen_650nm_50000_to_100,654.755,,,,Halogen_650nm_50000_to_100,654.755,0.0,100.0
Mound_Start,224BC5.txt,Halogen,485.7,26.65,Start,Mound,Baseline_Then_Halogen_Normalized,,Mound_9,103.19,28.97605013552099,halogen_650nm_50000_to_100,654.755,,,,Halogen_650nm_50000_to_100,654.755,0.0,100.0
Mound_Crest,224BC5.txt,Halogen,539.41,45.69,Crest,Mound,Baseline_Then_Halogen_Normalized,,Mound_9,103.19,28.97605013552099,halogen_650nm_50000_to_100,654.755,,,,Halogen_650nm_50000_to_100,654.755,0.0,100.0
Mound_End,224BC5.txt,Halogen,619.1,30.35,End,Mound,Baseline_Then_Halogen_Normalized,,Mound_9,103.19,28.97605013552099,halogen_650nm_50000_to_100,654.755,,,,Halogen_650nm_50000_to_100,654.755,0.0,100.0
Mound_Summary,224BC5.txt,Halogen,539.41,45.69,Summary,Mound,Baseline_Then_Halogen_Normalized,,Mound_9,,,halogen_650nm_50000_to_100,,0.674,Left Skewed,133.4,Halogen_650nm_50000_to_100,654.755,0.0,100.0
Diagnostic Region_Start,224BC5.txt,Halogen,647.69,36.04,Start,Diagnostic Region,Baseline_Then_Halogen_Normalized,,Diagnostic Region_13,103.19,28.97605013552099,halogen_650nm_50000_to_100,654.755,,,,Halogen_650nm_50000_to_100,654.755,0.0,100.0
Diagnostic Region_End,224BC5.txt,Halogen,726.51,58.64,End,Diagnostic Region,Baseline_Then_Halogen_Normalized,,Diagnostic Region_13,103.19,28.97605013552099,halogen_650nm_50000_to_100,654.755,,,,Halogen_650nm_50000_to_100,654.755,0.0,100.0
Trough_Start,224BC5.txt,Halogen,735.48,66.4,Start,Trough,Baseline_Then_Halogen_Normalized,,Trough_15,103.19,28.97605013552099,halogen_650nm_50000_to_100,654.755,,,,Halogen_650nm_50000_to_100,654.755,0.0,100.0
Trough_Bottom,224BC5.txt,Halogen,740.18,64.38,Bottom,Trough,Baseline_Then_Halogen_Normalized,,Trough_15,103.19,28.97605013552099,halogen_650nm_50000_to_100,654.755,,,,Halogen_650nm_50000_to_100,654.755,0.0,100.0
Trough_End,224BC5.txt,Halogen,744.45,71.45,End,Trough,Baseline_Then_Halogen_Normalized,,Trough_15,103.19,28.97605013552099,halogen_650nm_50000_to_100,654.755,,,,Halogen_650nm_50000_to_100,654.755,0.0,100.0
