Feature,File,Light_Source,Wavelength,Intensity,Point_Type,Feature_Group,Processing,SNR,Feature_Key,Baseline_Used,Norm_Factor,Normalization_Method,Reference_Wavelength_Used,Normalization_Scheme,Reference_Wavelength,Intensity_Range_Min,Intensity_Range_Max
Baseline_Start,189UC1.txt,UV,948.27,10.17,Start,Baseline,Baseline_Then_UV_Normalized,1.1,Baseline_0,5.87,5.047568283503739,uv_811nm_15000_to_100,,UV_811nm_15000_to_100,811.028,0.0,100.0
Baseline_End,189UC1.txt,UV,999.38,2.89,End,Baseline,Baseline_Then_UV_Normalized,1.1,Baseline_0,5.87,5.047568283503739,uv_811nm_15000_to_100,,UV_811nm_15000_to_100,811.028,0.0,100.0
Peak_Max,189UC1.txt,UV,296.79,0.63,Max,Peak,Baseline_Then_UV_Normalized,,Peak_2,5.87,5.047568283503739,uv_811nm_15000_to_100,811.028,UV_811nm_15000_to_100,811.028,0.0,100.0
Peak_Max,189UC1.txt,UV,302.29,0.46,Max,Peak,Baseline_Then_UV_Normalized,,Peak_3,5.87,5.047568283503739,uv_811nm_15000_to_100,811.028,UV_811nm_15000_to_100,811.028,0.0,100.0
Peak_Max,189UC1.txt,UV,312.99,5.45,Max,Peak,Baseline_Then_UV_Normalized,,Peak_4,5.87,5.047568283503739,uv_811nm_15000_to_100,811.028,UV_811nm_15000_to_100,811.028,0.0,100.0
Peak_Max,189UC1.txt,UV,333.94,0.41,Max,Peak,Baseline_Then_UV_Normalized,,Peak_5,5.87,5.047568283503739,uv_811nm_15000_to_100,811.028,UV_811nm_15000_to_100,811.028,0.0,100.0
Peak_Max,189UC1.txt,UV,365.0,14.51,Max,Peak,Baseline_Then_UV_Normalized,,Peak_6,5.87,5.047568283503739,uv_811nm_15000_to_100,811.028,UV_811nm_15000_to_100,811.028,0.0,100.0
Peak_Max,189UC1.txt,UV,407.21,4.12,Max,Peak,Baseline_Then_UV_Normalized,,Peak_7,5.87,5.047568283503739,uv_811nm_15000_to_100,811.028,UV_811nm_15000_to_100,811.028,0.0,100.0
Peak_Max,189UC1.txt,UV,415.37,0.9,Max,Peak,Baseline_Then_UV_Normalized,,Peak_8,5.87,5.047568283503739,uv_811nm_15000_to_100,811.028,UV_811nm_15000_to_100,811.028,0.0,100.0
Peak_Max,189UC1.txt,UV,419.29,0.95,Max,Peak,Baseline_Then_UV_Normalized,,Peak_9,5.87,5.047568283503739,uv_811nm_15000_to_100,811.028,UV_811nm_15000_to_100,811.028,0.0,100.0
Peak_Max,189UC1.txt,UV,425.87,0.8,Max,Peak,Baseline_Then_UV_Normalized,,Peak_10,5.87,5.047568283503739,uv_811nm_15000_to_100,811.028,UV_811nm_15000_to_100,811.028,0.0,100.0
Peak_Max,189UC1.txt,UV,491.38,0.65,Max,Peak,Baseline_Then_UV_Normalized,,Peak_11,5.87,5.047568283503739,uv_811nm_15000_to_100,811.028,UV_811nm_15000_to_100,811.028,0.0,100.0
Peak_Max,189UC1.txt,UV,434.59,24.38,Max,Peak,Baseline_Then_UV_Normalized,,Peak_12,5.87,5.047568283503739,uv_811nm_15000_to_100,811.028,UV_811nm_15000_to_100,811.028,0.0,100.0
Peak_Max,189UC1.txt,UV,545.47,86.41,Max,Peak,Baseline_Then_UV_Normalized,,Peak_13,5.87,5.047568283503739,uv_811nm_15000_to_100,811.028,UV_811nm_15000_to_100,811.028,0.0,100.0
Peak_Max,189UC1.txt,UV,404.27,26.44,Max,Peak,Baseline_Then_UV_Normalized,,Peak_14,5.87,5.047568283503739,uv_811nm_15000_to_100,811.028,UV_811nm_15000_to_100,811.028,0.0,100.0
