Feature,File,Light_Source,Wavelength,Intensity,Point_Type,Feature_Group,Processing,SNR,Feature_Key,Baseline_Used,Norm_Factor,Normalization_Method,Reference_Wavelength_Used,Symmetry_Ratio,Skew_Description,Width_nm,Normalization_Scheme,Reference_Wavelength,Intensity_Range_Min,Intensity_Range_Max
Baseline_Start,224BC4.txt,Halogen,299.46,58.77,Start,Baseline,Baseline_Then_Halogen_Normalized,8.9,Baseline_0,75.08,30.85703565098471,halogen_650nm_50000_to_100,,,,,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Baseline_End,224BC4.txt,Halogen,347.1,91.81,End,Baseline,Baseline_Then_Halogen_Normalized,8.9,Baseline_0,75.08,30.85703565098471,halogen_650nm_50000_to_100,,,,,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Mound_Start,224BC4.txt,Halogen,414.67,0.24,Start,Mound,Baseline_Then_Halogen_Normalized,,Mound_2,75.08,30.85703565098471,halogen_650nm_50000_to_100,654.954,,,,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Mound_Crest,224BC4.txt,Halogen,760.3,98.68,Crest,Mound,Baseline_Then_Halogen_Normalized,,Mound_2,75.08,30.85703565098471,halogen_650nm_50000_to_100,654.954,,,,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Mound_End,224BC4.txt,Halogen,963.86,0.14,End,Mound,Baseline_Then_Halogen_Normalized,,Mound_2,75.08,30.85703565098471,halogen_650nm_50000_to_100,654.954,,,,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Mound_Summary,224BC4.txt,Halogen,760.3,98.68,Summary,Mound,Baseline_Then_Halogen_Normalized,,Mound_2,,,halogen_650nm_50000_to_100,,1.698,Right Skewed,549.19,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Trough_Start,224BC4.txt,Halogen,473.82,17.72,Start,Trough,Baseline_Then_Halogen_Normalized,,Trough_6,75.08,30.85703565098471,halogen_650nm_50000_to_100,654.954,,,,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Trough_Bottom,224BC4.txt,Halogen,476.92,16.68,Bottom,Trough,Baseline_Then_Halogen_Normalized,,Trough_6,75.08,30.85703565098471,halogen_650nm_50000_to_100,654.954,,,,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Trough_End,224BC4.txt,Halogen,481.22,20.33,End,Trough,Baseline_Then_Halogen_Normalized,,Trough_6,75.08,30.85703565098471,halogen_650nm_50000_to_100,654.954,,,,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Mound_Start,224BC4.txt,Halogen,487.43,25.55,Start,Mound,Baseline_Then_Halogen_Normalized,,Mound_9,75.08,30.85703565098471,halogen_650nm_50000_to_100,654.954,,,,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Mound_Crest,224BC4.txt,Halogen,544.6,43.87,Crest,Mound,Baseline_Then_Halogen_Normalized,,Mound_9,75.08,30.85703565098471,halogen_650nm_50000_to_100,654.954,,,,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Mound_End,224BC4.txt,Halogen,619.1,31.86,End,Mound,Baseline_Then_Halogen_Normalized,,Mound_9,75.08,30.85703565098471,halogen_650nm_50000_to_100,654.954,,,,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Mound_Summary,224BC4.txt,Halogen,544.6,43.87,Summary,Mound,Baseline_Then_Halogen_Normalized,,Mound_9,,,halogen_650nm_50000_to_100,,0.767,Left Skewed,131.67,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Diagnostic Region_Start,224BC4.txt,Halogen,644.22,36.74,Start,Diagnostic Region,Baseline_Then_Halogen_Normalized,,Diagnostic Region_13,75.08,30.85703565098471,halogen_650nm_50000_to_100,654.954,,,,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Diagnostic Region_End,224BC4.txt,Halogen,726.51,61.51,End,Diagnostic Region,Baseline_Then_Halogen_Normalized,,Diagnostic Region_13,75.08,30.85703565098471,halogen_650nm_50000_to_100,654.954,,,,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Trough_Start,224BC4.txt,Halogen,735.62,69.68,Start,Trough,Baseline_Then_Halogen_Normalized,,Trough_15,75.08,30.85703565098471,halogen_650nm_50000_to_100,654.954,,,,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Trough_Bottom,224BC4.txt,Halogen,740.8,67.11,Bottom,Trough,Baseline_Then_Halogen_Normalized,,Trough_15,75.08,30.85703565098471,halogen_650nm_50000_to_100,654.954,,,,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Trough_End,224BC4.txt,Halogen,744.56,74.0,End,Trough,Baseline_Then_Halogen_Normalized,,Trough_15,75.08,30.85703565098471,halogen_650nm_50000_to_100,654.954,,,,Halogen_650nm_50000_to_100,654.954,0.0,100.0
