Feature,File,Light_Source,Wavelength,Intensity,Point_Type,Feature_Group,Processing,SNR,Feature_Key,Baseline_Used,Norm_Factor,Normalization_Method,Reference_Wavelength_Used,Normalization_Scheme,Reference_Wavelength,Intensity_Range_Min,Intensity_Range_Max
Baseline_Start,189LC1.txt,Laser,301.19,118.64,Start,Baseline,Baseline_Then_Laser_Normalized,7.7,Baseline_0,107.8,7.296778516065828,laser_max_50000_to_100,,Laser_Max_50000_to_100,452.274,0.0,100.0
Baseline_End,189LC1.txt,Laser,365.29,105.85,End,Baseline,Baseline_Then_Laser_Normalized,7.7,Baseline_0,107.8,7.296778516065828,laser_max_50000_to_100,,Laser_Max_50000_to_100,452.274,0.0,100.0
Peak_Max,189LC1.txt,Laser,431.42,69.31,Max,Peak,Baseline_Then_Laser_Normalized,,Peak_2,107.8,7.296778516065828,laser_max_50000_to_100,452.274,Laser_Max_50000_to_100,452.274,0.0,100.0
Peak_Max,189LC1.txt,Laser,451.05,98.71,Max,Peak,Baseline_Then_Laser_Normalized,,Peak_3,107.8,7.296778516065828,laser_max_50000_to_100,452.274,Laser_Max_50000_to_100,452.274,0.0,100.0
Peak_Max,189LC1.txt,Laser,503.89,26.88,Max,Peak,Baseline_Then_Laser_Normalized,,Peak_4,107.8,7.296778516065828,laser_max_50000_to_100,452.274,Laser_Max_50000_to_100,452.274,0.0,100.0
Peak_Max,189LC1.txt,Laser,575.52,14.04,Max,Peak,Baseline_Then_Laser_Normalized,,Peak_5,107.8,7.296778516065828,laser_max_50000_to_100,452.274,Laser_Max_50000_to_100,452.274,0.0,100.0
Peak_Max,189LC1.txt,Laser,738.12,7.34,Max,Peak,Baseline_Then_Laser_Normalized,,Peak_6,107.8,7.296778516065828,laser_max_50000_to_100,452.274,Laser_Max_50000_to_100,452.274,0.0,100.0
