Peak_Number,Wavelength_nm,Intensity,Prominence,Category,Normalization_Scheme,Reference_Wavelength,Light_Source
1,435.642,100.000,99.683,Minor,UV_811nm_15000_to_100,811.0,UV
2,545.722,92.078,91.851,Minor,UV_811nm_15000_to_100,811.0,UV
3,507.027,65.396,65.046,Minor,UV_811nm_15000_to_100,811.0,UV
4,404.380,29.098,28.294,Medium,UV_811nm_15000_to_100,811.0,UV
5,763.168,23.389,23.178,Medium,UV_811nm_15000_to_100,811.0,UV
6,811.028,21.910,21.537,Medium,UV_811nm_15000_to_100,811.0,UV
7,364.895,16.632,16.329,Medium,UV_811nm_15000_to_100,811.0,UV
8,578.802,14.355,14.008,Medium,UV_811nm_15000_to_100,811.0,UV
9,576.653,12.374,5.767,Medium,UV_811nm_15000_to_100,811.0,UV
10,751.240,9.873,9.344,Medium,UV_811nm_15000_to_100,811.0,UV
11,738.321,8.736,8.208,Medium,UV_811nm_15000_to_100,811.0,UV
12,772.074,7.917,7.249,Strong,UV_811nm_15000_to_100,811.0,UV
13,800.871,7.219,6.752,Strong,UV_811nm_15000_to_100,811.0,UV
14,313.024,6.951,6.905,Strong,UV_811nm_15000_to_100,811.0,UV
15,696.495,6.385,5.935,Strong,UV_811nm_15000_to_100,811.0,UV
16,706.525,5.716,5.251,Strong,UV_811nm_15000_to_100,811.0,UV
17,841.751,5.614,5.381,Strong,UV_811nm_15000_to_100,811.0,UV
18,794.374,5.472,4.814,Strong,UV_811nm_15000_to_100,811.0,UV
19,407.505,4.724,0.920,Strong,UV_811nm_15000_to_100,811.0,UV
20,625.995,3.937,3.582,Strong,UV_811nm_15000_to_100,811.0,UV
21,729.855,3.584,3.059,Strong,UV_811nm_15000_to_100,811.0,UV
22,760.740,2.963,0.669,Strong,UV_811nm_15000_to_100,811.0,UV
23,825.873,2.249,1.946,Strong,UV_811nm_15000_to_100,811.0,UV
24,727.237,1.714,0.691,Major,UV_811nm_15000_to_100,811.0,UV
25,871.099,1.696,1.566,Major,UV_811nm_15000_to_100,811.0,UV
26,912.316,1.580,1.516,Major,UV_811nm_15000_to_100,811.0,UV
27,593.295,1.312,0.977,Major,UV_811nm_15000_to_100,811.0,UV
28,419.680,1.242,0.452,Major,UV_811nm_15000_to_100,811.0,UV
29,851.529,1.153,0.933,Major,UV_811nm_15000_to_100,811.0,UV
30,415.614,1.108,0.266,Major,UV_811nm_15000_to_100,811.0,UV
31,296.830,1.062,0.975,Major,UV_811nm_15000_to_100,811.0,UV
32,714.561,0.987,0.539,Major,UV_811nm_15000_to_100,811.0,UV
33,426.348,0.968,0.224,Major,UV_811nm_15000_to_100,811.0,UV
34,603.904,0.880,0.514,Major,UV_811nm_15000_to_100,811.0,UV
35,302.384,0.648,0.521,Major,UV_811nm_15000_to_100,811.0,UV
36,491.381,0.629,0.394,Major,UV_811nm_15000_to_100,811.0,UV
37,668.301,0.598,0.235,Major,UV_811nm_15000_to_100,811.0,UV
38,334.158,0.587,0.510,Major,UV_811nm_15000_to_100,811.0,UV
39,922.727,0.424,0.324,Major,UV_811nm_15000_to_100,811.0,UV
