Peak_Number,Wavelength_nm,Intensity,Prominence,Category,Normalization_Scheme,Reference_Wavelength,Light_Source
1,545.916,100.000,99.098,Minor,UV_811nm_15000_to_100,811.0,UV
2,435.642,96.861,95.161,Minor,UV_811nm_15000_to_100,811.0,UV
3,763.370,47.711,45.657,Minor,UV_811nm_15000_to_100,811.0,UV
4,811.028,43.360,42.213,Minor,UV_811nm_15000_to_100,811.0,UV
5,751.038,20.881,18.856,Minor,UV_811nm_15000_to_100,811.0,UV
6,404.380,20.632,18.813,Medium,UV_811nm_15000_to_100,811.0,UV
7,738.321,19.255,17.171,Medium,UV_811nm_15000_to_100,811.0,UV
8,772.276,17.678,14.519,Medium,UV_811nm_15000_to_100,811.0,UV
9,578.802,17.394,15.521,Medium,UV_811nm_15000_to_100,811.0,UV
10,801.074,16.082,13.918,Medium,UV_811nm_15000_to_100,811.0,UV
11,576.653,15.349,5.350,Medium,UV_811nm_15000_to_100,811.0,UV
12,696.294,13.737,11.740,Medium,UV_811nm_15000_to_100,811.0,UV
13,706.726,13.399,11.158,Medium,UV_811nm_15000_to_100,811.0,UV
14,841.954,12.775,11.332,Medium,UV_811nm_15000_to_100,811.0,UV
15,794.374,12.264,9.661,Medium,UV_811nm_15000_to_100,811.0,UV
16,364.895,11.442,10.286,Strong,UV_811nm_15000_to_100,811.0,UV
17,803.308,6.468,0.331,Strong,UV_811nm_15000_to_100,811.0,UV
18,698.700,6.234,0.319,Strong,UV_811nm_15000_to_100,811.0,UV
19,826.076,5.892,3.931,Strong,UV_811nm_15000_to_100,811.0,UV
20,407.505,5.567,1.220,Strong,UV_811nm_15000_to_100,811.0,UV
21,727.438,5.388,2.105,Strong,UV_811nm_15000_to_100,811.0,UV
22,729.654,5.052,2.888,Strong,UV_811nm_15000_to_100,811.0,UV
23,775.517,4.767,0.393,Strong,UV_811nm_15000_to_100,811.0,UV
24,851.121,4.609,3.355,Strong,UV_811nm_15000_to_100,811.0,UV
25,912.316,4.488,3.833,Strong,UV_811nm_15000_to_100,811.0,UV
26,754.877,4.458,0.453,Strong,UV_811nm_15000_to_100,811.0,UV
27,828.314,4.187,0.920,Strong,UV_811nm_15000_to_100,811.0,UV
28,621.252,4.118,1.511,Strong,UV_811nm_15000_to_100,811.0,UV
29,591.922,4.110,1.430,Strong,UV_811nm_15000_to_100,811.0,UV
30,768.834,4.037,0.456,Strong,UV_811nm_15000_to_100,811.0,UV
31,831.367,4.029,2.166,Major,UV_811nm_15000_to_100,811.0,UV
32,633.119,4.021,1.485,Major,UV_811nm_15000_to_100,811.0,UV
33,648.989,4.016,1.748,Major,UV_811nm_15000_to_100,811.0,UV
34,611.584,3.978,0.907,Major,UV_811nm_15000_to_100,811.0,UV
35,637.875,3.952,1.099,Major,UV_811nm_15000_to_100,811.0,UV
36,617.500,3.935,1.109,Major,UV_811nm_15000_to_100,811.0,UV
37,816.517,3.900,0.646,Major,UV_811nm_15000_to_100,811.0,UV
38,641.246,3.900,1.331,Major,UV_811nm_15000_to_100,811.0,UV
39,709.337,3.847,0.253,Major,UV_811nm_15000_to_100,811.0,UV
40,598.793,3.825,1.064,Major,UV_811nm_15000_to_100,811.0,UV
41,603.314,3.815,1.192,Major,UV_811nm_15000_to_100,811.0,UV
42,798.231,3.812,0.505,Major,UV_811nm_15000_to_100,811.0,UV
43,608.432,3.778,0.807,Major,UV_811nm_15000_to_100,811.0,UV
44,685.681,3.762,1.026,Major,UV_811nm_15000_to_100,811.0,UV
45,666.506,3.757,0.840,Major,UV_811nm_15000_to_100,811.0,UV
46,680.881,3.745,1.739,Major,UV_811nm_15000_to_100,811.0,UV
47,630.149,3.741,0.868,Major,UV_811nm_15000_to_100,811.0,UV
48,714.762,3.730,1.905,Major,UV_811nm_15000_to_100,811.0,UV
49,419.680,3.716,1.660,Major,UV_811nm_15000_to_100,811.0,UV
50,587.021,3.707,0.904,Major,UV_811nm_15000_to_100,811.0,UV
