Peak_Number,Wavelength_nm,Intensity,Prominence,Category,Normalization_Scheme,Reference_Wavelength,Light_Source
1,545.916,100.000,99.669,Minor,UV_811nm_15000_to_100,811.0,UV
2,435.642,94.862,94.171,Minor,UV_811nm_15000_to_100,811.0,UV
3,763.370,43.661,42.873,Minor,UV_811nm_15000_to_100,811.0,UV
4,811.231,41.535,40.282,Minor,UV_811nm_15000_to_100,811.0,UV
5,404.380,24.114,22.675,Minor,UV_811nm_15000_to_100,811.0,UV
6,751.240,18.642,17.242,Medium,UV_811nm_15000_to_100,811.0,UV
7,738.321,16.709,15.499,Medium,UV_811nm_15000_to_100,811.0,UV
8,578.802,15.482,14.536,Medium,UV_811nm_15000_to_100,811.0,UV
9,772.276,15.383,13.416,Medium,UV_811nm_15000_to_100,811.0,UV
10,364.895,14.394,13.470,Medium,UV_811nm_15000_to_100,811.0,UV
11,801.074,14.381,12.836,Medium,UV_811nm_15000_to_100,811.0,UV
12,576.848,13.466,5.792,Medium,UV_811nm_15000_to_100,811.0,UV
13,841.954,11.492,10.582,Medium,UV_811nm_15000_to_100,811.0,UV
14,696.495,11.380,10.185,Medium,UV_811nm_15000_to_100,811.0,UV
15,794.577,11.016,9.203,Medium,UV_811nm_15000_to_100,811.0,UV
16,706.726,10.415,9.083,Strong,UV_811nm_15000_to_100,811.0,UV
17,840.325,6.846,1.303,Strong,UV_811nm_15000_to_100,811.0,UV
18,826.076,4.951,3.757,Strong,UV_811nm_15000_to_100,811.0,UV
19,407.505,4.789,1.027,Strong,UV_811nm_15000_to_100,811.0,UV
20,730.057,4.262,2.764,Strong,UV_811nm_15000_to_100,811.0,UV
21,912.316,3.979,3.443,Strong,UV_811nm_15000_to_100,811.0,UV
22,727.237,3.799,1.497,Strong,UV_811nm_15000_to_100,811.0,UV
23,313.024,3.770,3.235,Strong,UV_811nm_15000_to_100,811.0,UV
24,851.733,3.086,2.026,Strong,UV_811nm_15000_to_100,811.0,UV
25,626.193,2.909,1.961,Strong,UV_811nm_15000_to_100,811.0,UV
26,715.164,2.580,1.167,Strong,UV_811nm_15000_to_100,811.0,UV
27,426.348,2.413,0.509,Strong,UV_811nm_15000_to_100,811.0,UV
28,415.245,2.397,0.839,Strong,UV_811nm_15000_to_100,811.0,UV
29,445.159,2.389,0.785,Strong,UV_811nm_15000_to_100,811.0,UV
30,871.303,2.389,1.566,Strong,UV_811nm_15000_to_100,811.0,UV
31,769.644,2.308,0.301,Major,UV_811nm_15000_to_100,811.0,UV
32,419.680,2.273,0.600,Major,UV_811nm_15000_to_100,811.0,UV
33,430.805,2.189,0.207,Major,UV_811nm_15000_to_100,811.0,UV
34,431.548,2.137,0.220,Major,UV_811nm_15000_to_100,811.0,UV
35,716.571,2.118,0.349,Major,UV_811nm_15000_to_100,811.0,UV
36,702.912,1.993,0.622,Major,UV_811nm_15000_to_100,811.0,UV
37,443.103,1.958,0.243,Major,UV_811nm_15000_to_100,811.0,UV
38,757.909,1.956,0.362,Major,UV_811nm_15000_to_100,811.0,UV
39,423.753,1.932,0.230,Major,UV_811nm_15000_to_100,811.0,UV
40,735.700,1.926,0.289,Major,UV_811nm_15000_to_100,811.0,UV
41,786.868,1.920,0.634,Major,UV_811nm_15000_to_100,811.0,UV
42,448.340,1.904,0.382,Major,UV_811nm_15000_to_100,811.0,UV
43,694.290,1.891,0.248,Major,UV_811nm_15000_to_100,811.0,UV
44,734.893,1.879,0.264,Major,UV_811nm_15000_to_100,811.0,UV
45,450.775,1.868,0.440,Major,UV_811nm_15000_to_100,811.0,UV
46,723.411,1.860,0.566,Major,UV_811nm_15000_to_100,811.0,UV
47,747.605,1.858,0.247,Major,UV_811nm_15000_to_100,811.0,UV
48,455.464,1.853,0.342,Major,UV_811nm_15000_to_100,811.0,UV
49,452.462,1.827,0.230,Major,UV_811nm_15000_to_100,811.0,UV
50,778.961,1.822,0.264,Major,UV_811nm_15000_to_100,811.0,UV
