Peak_Number,Wavelength_nm,Intensity,Prominence,Category,Normalization_Scheme,Reference_Wavelength,Light_Source
1,435.642,100.000,99.657,Minor,UV_811nm_15000_to_100,811.0,UV
2,545.722,90.914,90.699,Minor,UV_811nm_15000_to_100,811.0,UV
3,507.027,57.709,57.418,Minor,UV_811nm_15000_to_100,811.0,UV
4,404.380,28.918,28.155,Medium,UV_811nm_15000_to_100,811.0,UV
5,763.370,22.790,22.299,Medium,UV_811nm_15000_to_100,811.0,UV
6,811.028,21.176,20.839,Medium,UV_811nm_15000_to_100,811.0,UV
7,364.895,16.391,16.049,Medium,UV_811nm_15000_to_100,811.0,UV
8,578.802,14.140,13.796,Medium,UV_811nm_15000_to_100,811.0,UV
9,576.653,12.160,5.657,Medium,UV_811nm_15000_to_100,811.0,UV
10,751.240,9.495,9.016,Medium,UV_811nm_15000_to_100,811.0,UV
11,738.321,8.459,7.942,Medium,UV_811nm_15000_to_100,811.0,UV
12,772.074,7.619,7.005,Strong,UV_811nm_15000_to_100,811.0,UV
13,800.871,6.992,6.583,Strong,UV_811nm_15000_to_100,811.0,UV
14,313.024,6.914,6.870,Strong,UV_811nm_15000_to_100,811.0,UV
15,696.495,6.170,5.733,Strong,UV_811nm_15000_to_100,811.0,UV
16,841.751,5.633,5.430,Strong,UV_811nm_15000_to_100,811.0,UV
17,706.525,5.508,5.072,Strong,UV_811nm_15000_to_100,811.0,UV
18,794.374,5.187,4.569,Strong,UV_811nm_15000_to_100,811.0,UV
19,407.505,4.656,0.962,Strong,UV_811nm_15000_to_100,811.0,UV
20,625.995,3.858,3.527,Strong,UV_811nm_15000_to_100,811.0,UV
21,729.855,3.427,2.926,Strong,UV_811nm_15000_to_100,811.0,UV
22,760.740,2.677,0.640,Strong,UV_811nm_15000_to_100,811.0,UV
23,825.873,2.182,1.885,Strong,UV_811nm_15000_to_100,811.0,UV
24,871.099,1.723,1.568,Major,UV_811nm_15000_to_100,811.0,UV
25,727.035,1.665,0.697,Major,UV_811nm_15000_to_100,811.0,UV
26,912.316,1.634,1.551,Major,UV_811nm_15000_to_100,811.0,UV
27,593.295,1.260,0.918,Major,UV_811nm_15000_to_100,811.0,UV
28,419.680,1.227,0.452,Major,UV_811nm_15000_to_100,811.0,UV
29,851.529,1.165,0.941,Major,UV_811nm_15000_to_100,811.0,UV
30,415.614,1.072,0.261,Major,UV_811nm_15000_to_100,811.0,UV
31,296.830,0.988,0.914,Major,UV_811nm_15000_to_100,811.0,UV
32,714.561,0.921,0.516,Major,UV_811nm_15000_to_100,811.0,UV
33,426.348,0.914,0.208,Major,UV_811nm_15000_to_100,811.0,UV
34,604.101,0.843,0.505,Major,UV_811nm_15000_to_100,811.0,UV
35,491.381,0.636,0.413,Major,UV_811nm_15000_to_100,811.0,UV
36,302.210,0.621,0.542,Major,UV_811nm_15000_to_100,811.0,UV
37,668.101,0.614,0.273,Major,UV_811nm_15000_to_100,811.0,UV
38,333.981,0.580,0.538,Major,UV_811nm_15000_to_100,811.0,UV
39,922.727,0.414,0.324,Major,UV_811nm_15000_to_100,811.0,UV
