Peak_Number,Wavelength_nm,Intensity,Prominence,Category,Normalization_Scheme,Reference_Wavelength,Light_Source
1,435.642,100.000,96.870,Minor,UV_811nm_15000_to_100,811.0,UV
2,545.916,78.821,75.827,Minor,UV_811nm_15000_to_100,811.0,UV
3,507.027,60.688,58.736,Minor,UV_811nm_15000_to_100,811.0,UV
4,404.380,30.644,28.797,Minor,UV_811nm_15000_to_100,811.0,UV
5,811.028,24.644,23.603,Minor,UV_811nm_15000_to_100,811.0,UV
6,763.168,22.131,21.362,Medium,UV_811nm_15000_to_100,811.0,UV
7,364.895,19.237,18.054,Medium,UV_811nm_15000_to_100,811.0,UV
8,578.802,12.318,11.405,Medium,UV_811nm_15000_to_100,811.0,UV
9,576.653,10.243,3.604,Medium,UV_811nm_15000_to_100,811.0,UV
10,751.038,9.603,8.788,Medium,UV_811nm_15000_to_100,811.0,UV
11,800.871,8.254,7.474,Medium,UV_811nm_15000_to_100,811.0,UV
12,772.074,8.057,7.019,Medium,UV_811nm_15000_to_100,811.0,UV
13,313.024,7.790,7.380,Medium,UV_811nm_15000_to_100,811.0,UV
14,841.954,7.766,7.056,Medium,UV_811nm_15000_to_100,811.0,UV
15,738.321,7.742,6.781,Medium,UV_811nm_15000_to_100,811.0,UV
16,696.495,6.476,5.398,Strong,UV_811nm_15000_to_100,811.0,UV
17,794.374,6.085,4.902,Strong,UV_811nm_15000_to_100,811.0,UV
18,706.726,5.719,4.667,Strong,UV_811nm_15000_to_100,811.0,UV
19,407.505,5.178,1.131,Strong,UV_811nm_15000_to_100,811.0,UV
20,625.995,4.319,3.662,Strong,UV_811nm_15000_to_100,811.0,UV
21,729.855,4.319,3.402,Strong,UV_811nm_15000_to_100,811.0,UV
22,760.740,3.232,1.063,Strong,UV_811nm_15000_to_100,811.0,UV
23,825.873,2.938,2.173,Strong,UV_811nm_15000_to_100,811.0,UV
24,912.316,2.703,2.303,Strong,UV_811nm_15000_to_100,811.0,UV
25,871.099,2.335,1.790,Strong,UV_811nm_15000_to_100,811.0,UV
26,851.529,2.232,1.666,Strong,UV_811nm_15000_to_100,811.0,UV
27,727.035,2.163,0.823,Strong,UV_811nm_15000_to_100,811.0,UV
28,593.295,1.786,1.049,Strong,UV_811nm_15000_to_100,811.0,UV
29,419.680,1.780,0.650,Strong,UV_811nm_15000_to_100,811.0,UV
30,847.250,1.635,0.366,Strong,UV_811nm_15000_to_100,811.0,UV
31,297.003,1.606,1.154,Major,UV_811nm_15000_to_100,811.0,UV
32,543.979,1.581,0.285,Major,UV_811nm_15000_to_100,811.0,UV
33,415.614,1.481,0.363,Major,UV_811nm_15000_to_100,811.0,UV
34,714.762,1.403,0.554,Major,UV_811nm_15000_to_100,811.0,UV
35,604.101,1.387,0.543,Major,UV_811nm_15000_to_100,811.0,UV
36,505.114,1.375,0.200,Major,UV_811nm_15000_to_100,811.0,UV
37,394.849,1.325,0.196,Major,UV_811nm_15000_to_100,811.0,UV
38,426.905,1.262,0.279,Major,UV_811nm_15000_to_100,811.0,UV
39,302.210,1.221,0.676,Major,UV_811nm_15000_to_100,811.0,UV
40,758.314,1.159,0.268,Major,UV_811nm_15000_to_100,811.0,UV
41,445.159,1.140,0.214,Major,UV_811nm_15000_to_100,811.0,UV
42,668.500,1.134,0.449,Major,UV_811nm_15000_to_100,811.0,UV
43,748.008,1.125,0.215,Major,UV_811nm_15000_to_100,811.0,UV
44,922.727,1.086,0.629,Major,UV_811nm_15000_to_100,811.0,UV
45,702.712,1.085,0.203,Major,UV_811nm_15000_to_100,811.0,UV
46,690.084,1.036,0.345,Major,UV_811nm_15000_to_100,811.0,UV
47,643.429,1.010,0.269,Major,UV_811nm_15000_to_100,811.0,UV
48,866.409,0.980,0.196,Major,UV_811nm_15000_to_100,811.0,UV
49,662.719,0.975,0.253,Major,UV_811nm_15000_to_100,811.0,UV
50,334.158,0.973,0.625,Major,UV_811nm_15000_to_100,811.0,UV
