Peak_Number,Wavelength_nm,Intensity,Prominence,Category,Normalization_Scheme,Reference_Wavelength,Light_Source
1,545.916,100.000,99.691,Minor,UV_811nm_15000_to_100,811.0,UV
2,435.642,91.995,91.348,Minor,UV_811nm_15000_to_100,811.0,UV
3,763.370,44.680,43.941,Minor,UV_811nm_15000_to_100,811.0,UV
4,811.231,42.048,40.811,Minor,UV_811nm_15000_to_100,811.0,UV
5,404.380,23.423,22.013,Minor,UV_811nm_15000_to_100,811.0,UV
6,751.240,18.947,17.569,Medium,UV_811nm_15000_to_100,811.0,UV
7,738.321,16.965,15.822,Medium,UV_811nm_15000_to_100,811.0,UV
8,772.276,15.698,13.746,Medium,UV_811nm_15000_to_100,811.0,UV
9,578.802,15.387,14.488,Medium,UV_811nm_15000_to_100,811.0,UV
10,801.074,14.630,13.111,Medium,UV_811nm_15000_to_100,811.0,UV
11,364.895,13.827,12.967,Medium,UV_811nm_15000_to_100,811.0,UV
12,576.848,13.455,5.927,Medium,UV_811nm_15000_to_100,811.0,UV
13,696.495,11.576,10.383,Medium,UV_811nm_15000_to_100,811.0,UV
14,841.954,11.537,10.620,Medium,UV_811nm_15000_to_100,811.0,UV
15,794.577,11.198,9.413,Medium,UV_811nm_15000_to_100,811.0,UV
16,706.726,10.529,9.251,Strong,UV_811nm_15000_to_100,811.0,UV
17,840.325,6.842,1.298,Strong,UV_811nm_15000_to_100,811.0,UV
18,826.076,4.984,3.817,Strong,UV_811nm_15000_to_100,811.0,UV
19,407.505,4.650,0.944,Strong,UV_811nm_15000_to_100,811.0,UV
20,730.057,4.138,2.656,Strong,UV_811nm_15000_to_100,811.0,UV
21,912.520,3.966,3.440,Strong,UV_811nm_15000_to_100,811.0,UV
22,727.237,3.865,1.625,Strong,UV_811nm_15000_to_100,811.0,UV
23,313.024,3.541,3.010,Strong,UV_811nm_15000_to_100,811.0,UV
24,851.733,3.026,1.982,Strong,UV_811nm_15000_to_100,811.0,UV
25,731.870,2.778,0.259,Strong,UV_811nm_15000_to_100,811.0,UV
26,626.193,2.713,1.788,Strong,UV_811nm_15000_to_100,811.0,UV
27,714.561,2.514,1.127,Strong,UV_811nm_15000_to_100,811.0,UV
28,847.250,2.472,1.283,Strong,UV_811nm_15000_to_100,811.0,UV
29,415.245,2.350,0.807,Strong,UV_811nm_15000_to_100,811.0,UV
30,871.303,2.338,1.573,Strong,UV_811nm_15000_to_100,811.0,UV
31,427.276,2.310,0.496,Major,UV_811nm_15000_to_100,811.0,UV
32,445.159,2.296,0.745,Major,UV_811nm_15000_to_100,811.0,UV
33,428.947,2.266,0.201,Major,UV_811nm_15000_to_100,811.0,UV
34,419.680,2.248,0.654,Major,UV_811nm_15000_to_100,811.0,UV
35,769.644,2.245,0.263,Major,UV_811nm_15000_to_100,811.0,UV
36,430.805,2.142,0.227,Major,UV_811nm_15000_to_100,811.0,UV
37,431.548,2.107,0.201,Major,UV_811nm_15000_to_100,811.0,UV
38,716.772,2.063,0.294,Major,UV_811nm_15000_to_100,811.0,UV
39,702.912,1.948,0.593,Major,UV_811nm_15000_to_100,811.0,UV
40,757.909,1.929,0.342,Major,UV_811nm_15000_to_100,811.0,UV
41,442.916,1.917,0.224,Major,UV_811nm_15000_to_100,811.0,UV
42,735.700,1.900,0.256,Major,UV_811nm_15000_to_100,811.0,UV
43,694.290,1.863,0.254,Major,UV_811nm_15000_to_100,811.0,UV
44,747.605,1.853,0.269,Major,UV_811nm_15000_to_100,811.0,UV
45,711.144,1.834,0.294,Major,UV_811nm_15000_to_100,811.0,UV
46,723.411,1.832,0.530,Major,UV_811nm_15000_to_100,811.0,UV
47,448.340,1.831,0.351,Major,UV_811nm_15000_to_100,811.0,UV
48,734.893,1.831,0.249,Major,UV_811nm_15000_to_100,811.0,UV
49,778.961,1.830,0.272,Major,UV_811nm_15000_to_100,811.0,UV
50,786.868,1.823,0.580,Major,UV_811nm_15000_to_100,811.0,UV
