Peak_Number,Wavelength_nm,Intensity,Prominence,Category,Normalization_Scheme,Reference_Wavelength,Light_Source
1,435.642,100.000,99.269,Minor,UV_811nm_15000_to_100,811.0,UV
2,545.916,85.454,84.594,Minor,UV_811nm_15000_to_100,811.0,UV
3,507.027,71.290,70.281,Minor,UV_811nm_15000_to_100,811.0,UV
4,404.380,30.555,29.256,Minor,UV_811nm_15000_to_100,811.0,UV
5,811.028,21.107,20.300,Minor,UV_811nm_15000_to_100,811.0,UV
6,763.370,20.544,19.289,Medium,UV_811nm_15000_to_100,811.0,UV
7,364.895,19.307,18.257,Medium,UV_811nm_15000_to_100,811.0,UV
8,578.802,13.277,12.383,Medium,UV_811nm_15000_to_100,811.0,UV
9,576.653,11.606,5.103,Medium,UV_811nm_15000_to_100,811.0,UV
10,751.240,8.887,7.728,Medium,UV_811nm_15000_to_100,811.0,UV
11,313.024,8.256,7.523,Medium,UV_811nm_15000_to_100,811.0,UV
12,772.276,7.744,6.064,Medium,UV_811nm_15000_to_100,811.0,UV
13,800.871,7.656,6.320,Medium,UV_811nm_15000_to_100,811.0,UV
14,738.321,7.641,6.655,Medium,UV_811nm_15000_to_100,811.0,UV
15,696.294,6.486,5.351,Medium,UV_811nm_15000_to_100,811.0,UV
16,841.751,6.262,5.287,Strong,UV_811nm_15000_to_100,811.0,UV
17,794.577,5.813,4.259,Strong,UV_811nm_15000_to_100,811.0,UV
18,407.505,5.810,0.993,Strong,UV_811nm_15000_to_100,811.0,UV
19,706.726,5.763,4.513,Strong,UV_811nm_15000_to_100,811.0,UV
20,626.193,5.106,3.962,Strong,UV_811nm_15000_to_100,811.0,UV
21,730.057,5.105,3.715,Strong,UV_811nm_15000_to_100,811.0,UV
22,760.740,4.088,1.105,Strong,UV_811nm_15000_to_100,811.0,UV
23,844.195,3.339,0.203,Strong,UV_811nm_15000_to_100,811.0,UV
24,826.076,2.880,1.568,Strong,UV_811nm_15000_to_100,811.0,UV
25,593.295,2.589,1.371,Strong,UV_811nm_15000_to_100,811.0,UV
26,727.237,2.488,0.945,Strong,UV_811nm_15000_to_100,811.0,UV
27,871.303,2.457,1.821,Strong,UV_811nm_15000_to_100,811.0,UV
28,912.520,2.380,1.790,Strong,UV_811nm_15000_to_100,811.0,UV
29,851.733,2.379,1.447,Strong,UV_811nm_15000_to_100,811.0,UV
30,816.517,2.331,0.263,Strong,UV_811nm_15000_to_100,811.0,UV
31,419.680,2.326,0.837,Major,UV_811nm_15000_to_100,811.0,UV
32,445.159,2.093,0.803,Major,UV_811nm_15000_to_100,811.0,UV
33,415.245,2.082,0.463,Major,UV_811nm_15000_to_100,811.0,UV
34,427.090,2.058,0.632,Major,UV_811nm_15000_to_100,811.0,UV
35,603.904,2.057,0.847,Major,UV_811nm_15000_to_100,811.0,UV
36,769.441,2.052,0.255,Major,UV_811nm_15000_to_100,811.0,UV
37,297.003,2.021,1.394,Major,UV_811nm_15000_to_100,811.0,UV
38,399.609,2.017,0.485,Major,UV_811nm_15000_to_100,811.0,UV
39,790.113,1.985,0.580,Major,UV_811nm_15000_to_100,811.0,UV
40,742.154,1.973,0.200,Major,UV_811nm_15000_to_100,811.0,UV
41,385.179,1.971,0.518,Major,UV_811nm_15000_to_100,811.0,UV
42,757.909,1.946,0.517,Major,UV_811nm_15000_to_100,811.0,UV
43,382.451,1.943,0.681,Major,UV_811nm_15000_to_100,811.0,UV
44,719.789,1.936,0.531,Major,UV_811nm_15000_to_100,811.0,UV
45,390.647,1.933,0.417,Major,UV_811nm_15000_to_100,811.0,UV
46,652.170,1.929,0.618,Major,UV_811nm_15000_to_100,811.0,UV
47,702.912,1.925,0.478,Major,UV_811nm_15000_to_100,811.0,UV
48,397.045,1.923,0.218,Major,UV_811nm_15000_to_100,811.0,UV
49,784.840,1.923,0.590,Major,UV_811nm_15000_to_100,811.0,UV
50,715.365,1.919,0.508,Major,UV_811nm_15000_to_100,811.0,UV
