Peak_Number,Wavelength_nm,Intensity,Prominence,Category,Normalization_Scheme,Reference_Wavelength,Light_Source
1,435.642,100.000,97.484,Minor,UV_811nm_15000_to_100,811.0,UV
2,545.916,83.701,80.934,Minor,UV_811nm_15000_to_100,811.0,UV
3,507.027,50.991,49.505,Minor,UV_811nm_15000_to_100,811.0,UV
4,404.380,29.598,28.062,Minor,UV_811nm_15000_to_100,811.0,UV
5,811.028,28.343,27.619,Medium,UV_811nm_15000_to_100,811.0,UV
6,763.370,26.384,24.729,Medium,UV_811nm_15000_to_100,811.0,UV
7,364.895,16.855,16.166,Medium,UV_811nm_15000_to_100,811.0,UV
8,578.802,13.084,12.462,Medium,UV_811nm_15000_to_100,811.0,UV
9,576.848,11.048,3.873,Medium,UV_811nm_15000_to_100,811.0,UV
10,751.038,10.278,9.899,Medium,UV_811nm_15000_to_100,811.0,UV
11,801.074,9.338,8.704,Medium,UV_811nm_15000_to_100,811.0,UV
12,772.074,8.861,8.180,Medium,UV_811nm_15000_to_100,811.0,UV
13,841.751,8.713,8.361,Strong,UV_811nm_15000_to_100,811.0,UV
14,738.321,8.367,7.587,Strong,UV_811nm_15000_to_100,811.0,UV
15,696.495,6.899,6.190,Strong,UV_811nm_15000_to_100,811.0,UV
16,794.577,6.820,5.886,Strong,UV_811nm_15000_to_100,811.0,UV
17,706.525,5.986,5.473,Strong,UV_811nm_15000_to_100,811.0,UV
18,313.024,5.731,5.654,Strong,UV_811nm_15000_to_100,811.0,UV
19,407.505,4.704,1.065,Strong,UV_811nm_15000_to_100,811.0,UV
20,729.855,3.559,3.002,Strong,UV_811nm_15000_to_100,811.0,UV
21,625.995,3.125,2.799,Strong,UV_811nm_15000_to_100,811.0,UV
22,825.873,3.033,2.633,Strong,UV_811nm_15000_to_100,811.0,UV
23,912.316,2.798,2.630,Strong,UV_811nm_15000_to_100,811.0,UV
24,760.740,2.417,1.021,Strong,UV_811nm_15000_to_100,811.0,UV
25,871.099,2.051,1.812,Major,UV_811nm_15000_to_100,811.0,UV
26,851.529,1.947,1.622,Major,UV_811nm_15000_to_100,811.0,UV
27,727.035,1.737,0.767,Major,UV_811nm_15000_to_100,811.0,UV
28,419.680,1.429,0.575,Major,UV_811nm_15000_to_100,811.0,UV
29,543.979,1.256,0.300,Major,UV_811nm_15000_to_100,811.0,UV
30,415.799,1.224,0.319,Major,UV_811nm_15000_to_100,811.0,UV
31,714.561,1.046,0.581,Major,UV_811nm_15000_to_100,811.0,UV
32,426.719,0.998,0.295,Major,UV_811nm_15000_to_100,811.0,UV
33,593.295,0.997,0.697,Major,UV_811nm_15000_to_100,811.0,UV
34,296.830,0.874,0.766,Major,UV_811nm_15000_to_100,811.0,UV
35,603.904,0.724,0.422,Major,UV_811nm_15000_to_100,811.0,UV
36,922.727,0.653,0.516,Major,UV_811nm_15000_to_100,811.0,UV
37,668.500,0.637,0.277,Major,UV_811nm_15000_to_100,811.0,UV
38,491.381,0.565,0.371,Major,UV_811nm_15000_to_100,811.0,UV
39,866.205,0.514,0.265,Major,UV_811nm_15000_to_100,811.0,UV
40,333.981,0.509,0.464,Major,UV_811nm_15000_to_100,811.0,UV
41,302.210,0.490,0.390,Major,UV_811nm_15000_to_100,811.0,UV
