Peak_Number,Wavelength_nm,Intensity,Prominence,Category,Normalization_Scheme,Reference_Wavelength,Light_Source
1,435.642,100.000,99.750,Minor,UV_811nm_15000_to_100,811.0,UV
2,545.722,95.966,95.674,Minor,UV_811nm_15000_to_100,811.0,UV
3,507.027,35.345,35.051,Minor,UV_811nm_15000_to_100,811.0,UV
4,404.380,27.827,27.071,Medium,UV_811nm_15000_to_100,811.0,UV
5,763.370,23.862,23.352,Medium,UV_811nm_15000_to_100,811.0,UV
6,811.028,22.249,21.948,Medium,UV_811nm_15000_to_100,811.0,UV
7,578.802,15.126,14.684,Medium,UV_811nm_15000_to_100,811.0,UV
8,364.895,14.752,14.425,Medium,UV_811nm_15000_to_100,811.0,UV
9,576.653,12.954,6.012,Medium,UV_811nm_15000_to_100,811.0,UV
10,751.240,10.141,9.624,Medium,UV_811nm_15000_to_100,811.0,UV
11,738.321,9.070,8.524,Medium,UV_811nm_15000_to_100,811.0,UV
12,772.074,7.981,7.327,Strong,UV_811nm_15000_to_100,811.0,UV
13,800.871,7.568,7.136,Strong,UV_811nm_15000_to_100,811.0,UV
14,696.495,6.631,6.114,Strong,UV_811nm_15000_to_100,811.0,UV
15,841.751,6.237,6.022,Strong,UV_811nm_15000_to_100,811.0,UV
16,706.525,5.831,5.356,Strong,UV_811nm_15000_to_100,811.0,UV
17,313.024,5.643,5.581,Strong,UV_811nm_15000_to_100,811.0,UV
18,794.374,5.445,4.782,Strong,UV_811nm_15000_to_100,811.0,UV
19,407.505,4.497,1.138,Strong,UV_811nm_15000_to_100,811.0,UV
20,625.995,3.264,2.828,Strong,UV_811nm_15000_to_100,811.0,UV
21,729.855,3.176,2.540,Strong,UV_811nm_15000_to_100,811.0,UV
22,825.873,2.244,1.894,Strong,UV_811nm_15000_to_100,811.0,UV
23,760.740,2.013,0.392,Strong,UV_811nm_15000_to_100,811.0,UV
24,912.316,1.926,1.831,Major,UV_811nm_15000_to_100,811.0,UV
25,727.035,1.845,0.772,Major,UV_811nm_15000_to_100,811.0,UV
26,871.099,1.715,1.561,Major,UV_811nm_15000_to_100,811.0,UV
27,851.733,1.295,1.054,Major,UV_811nm_15000_to_100,811.0,UV
28,593.295,1.221,0.760,Major,UV_811nm_15000_to_100,811.0,UV
29,419.680,1.175,0.468,Major,UV_811nm_15000_to_100,811.0,UV
30,714.762,1.066,0.563,Major,UV_811nm_15000_to_100,811.0,UV
31,426.163,0.954,0.205,Major,UV_811nm_15000_to_100,811.0,UV
32,297.003,0.887,0.803,Major,UV_811nm_15000_to_100,811.0,UV
33,603.904,0.865,0.412,Major,UV_811nm_15000_to_100,811.0,UV
34,668.301,0.744,0.327,Major,UV_811nm_15000_to_100,811.0,UV
35,491.381,0.680,0.439,Major,UV_811nm_15000_to_100,811.0,UV
36,333.981,0.585,0.522,Major,UV_811nm_15000_to_100,811.0,UV
37,302.384,0.552,0.408,Major,UV_811nm_15000_to_100,811.0,UV
38,922.727,0.532,0.397,Major,UV_811nm_15000_to_100,811.0,UV
39,866.001,0.450,0.200,Major,UV_811nm_15000_to_100,811.0,UV
