Peak_Number,Wavelength_nm,Intensity,Prominence,Category,Normalization_Scheme,Reference_Wavelength,Light_Source
1,435.642,100.000,99.672,Minor,UV_811nm_15000_to_100,811.0,UV
2,545.722,99.097,98.807,Minor,UV_811nm_15000_to_100,811.0,UV
3,507.027,36.355,36.034,Minor,UV_811nm_15000_to_100,811.0,UV
4,404.380,27.460,26.803,Minor,UV_811nm_15000_to_100,811.0,UV
5,763.370,23.448,22.956,Medium,UV_811nm_15000_to_100,811.0,UV
6,811.028,21.968,21.629,Medium,UV_811nm_15000_to_100,811.0,UV
7,578.802,15.397,15.044,Medium,UV_811nm_15000_to_100,811.0,UV
8,364.895,14.892,14.579,Medium,UV_811nm_15000_to_100,811.0,UV
9,576.653,13.491,6.410,Medium,UV_811nm_15000_to_100,811.0,UV
10,751.240,9.933,9.517,Medium,UV_811nm_15000_to_100,811.0,UV
11,738.321,8.932,8.456,Medium,UV_811nm_15000_to_100,811.0,UV
12,772.074,8.064,7.468,Medium,UV_811nm_15000_to_100,811.0,UV
13,800.871,7.089,6.760,Strong,UV_811nm_15000_to_100,811.0,UV
14,696.495,6.621,6.236,Strong,UV_811nm_15000_to_100,811.0,UV
15,841.954,5.850,5.628,Strong,UV_811nm_15000_to_100,811.0,UV
16,706.525,5.785,5.449,Strong,UV_811nm_15000_to_100,811.0,UV
17,313.024,5.568,5.519,Strong,UV_811nm_15000_to_100,811.0,UV
18,794.374,5.387,4.729,Strong,UV_811nm_15000_to_100,811.0,UV
19,407.505,4.487,0.868,Strong,UV_811nm_15000_to_100,811.0,UV
20,625.995,3.282,2.859,Strong,UV_811nm_15000_to_100,811.0,UV
21,729.855,3.197,2.738,Strong,UV_811nm_15000_to_100,811.0,UV
22,825.873,2.278,1.973,Strong,UV_811nm_15000_to_100,811.0,UV
23,760.740,1.926,0.244,Strong,UV_811nm_15000_to_100,811.0,UV
24,912.316,1.798,1.705,Strong,UV_811nm_15000_to_100,811.0,UV
25,727.237,1.737,0.771,Major,UV_811nm_15000_to_100,811.0,UV
26,871.099,1.692,1.573,Major,UV_811nm_15000_to_100,811.0,UV
27,851.529,1.255,1.040,Major,UV_811nm_15000_to_100,811.0,UV
28,593.295,1.200,0.754,Major,UV_811nm_15000_to_100,811.0,UV
29,419.680,1.168,0.472,Major,UV_811nm_15000_to_100,811.0,UV
30,415.984,1.028,0.237,Major,UV_811nm_15000_to_100,811.0,UV
31,714.561,1.003,0.552,Major,UV_811nm_15000_to_100,811.0,UV
32,425.977,0.954,0.276,Major,UV_811nm_15000_to_100,811.0,UV
33,604.101,0.841,0.398,Major,UV_811nm_15000_to_100,811.0,UV
34,297.003,0.763,0.694,Major,UV_811nm_15000_to_100,811.0,UV
35,491.381,0.745,0.477,Major,UV_811nm_15000_to_100,811.0,UV
36,675.286,0.676,0.295,Major,UV_811nm_15000_to_100,811.0,UV
37,667.303,0.634,0.224,Major,UV_811nm_15000_to_100,811.0,UV
38,690.484,0.628,0.226,Major,UV_811nm_15000_to_100,811.0,UV
39,334.158,0.565,0.514,Major,UV_811nm_15000_to_100,811.0,UV
40,302.210,0.557,0.480,Major,UV_811nm_15000_to_100,811.0,UV
41,922.931,0.442,0.362,Major,UV_811nm_15000_to_100,811.0,UV
