Peak_Number,Wavelength_nm,Intensity,Prominence,Category,Normalization_Scheme,Reference_Wavelength,Light_Source
1,435.642,100.000,96.511,Minor,UV_811nm_15000_to_100,811.0,UV
2,545.722,84.711,82.606,Minor,UV_811nm_15000_to_100,811.0,UV
3,507.027,71.290,68.383,Minor,UV_811nm_15000_to_100,811.0,UV
4,404.380,30.555,28.403,Minor,UV_811nm_15000_to_100,811.0,UV
5,811.028,21.107,19.757,Minor,UV_811nm_15000_to_100,811.0,UV
6,763.168,19.744,18.802,Medium,UV_811nm_15000_to_100,811.0,UV
7,364.895,19.307,17.854,Medium,UV_811nm_15000_to_100,811.0,UV
8,578.802,13.277,12.073,Medium,UV_811nm_15000_to_100,811.0,UV
9,576.653,11.606,4.490,Medium,UV_811nm_15000_to_100,811.0,UV
10,751.038,8.992,7.794,Medium,UV_811nm_15000_to_100,811.0,UV
11,313.024,8.256,7.404,Medium,UV_811nm_15000_to_100,811.0,UV
12,800.871,7.656,6.277,Medium,UV_811nm_15000_to_100,811.0,UV
13,738.321,7.641,6.265,Medium,UV_811nm_15000_to_100,811.0,UV
14,772.074,7.443,5.885,Medium,UV_811nm_15000_to_100,811.0,UV
15,696.495,6.336,5.086,Medium,UV_811nm_15000_to_100,811.0,UV
16,841.954,6.163,5.309,Strong,UV_811nm_15000_to_100,811.0,UV
17,407.505,5.810,0.795,Strong,UV_811nm_15000_to_100,811.0,UV
18,706.525,5.763,4.359,Strong,UV_811nm_15000_to_100,811.0,UV
19,794.374,5.754,3.929,Strong,UV_811nm_15000_to_100,811.0,UV
20,729.855,5.039,3.519,Strong,UV_811nm_15000_to_100,811.0,UV
21,625.995,4.901,3.793,Strong,UV_811nm_15000_to_100,811.0,UV
22,760.740,4.088,1.299,Strong,UV_811nm_15000_to_100,811.0,UV
23,593.295,2.589,1.196,Strong,UV_811nm_15000_to_100,811.0,UV
24,825.873,2.579,1.601,Strong,UV_811nm_15000_to_100,811.0,UV
25,727.035,2.473,0.799,Strong,UV_811nm_15000_to_100,811.0,UV
26,871.303,2.457,1.629,Strong,UV_811nm_15000_to_100,811.0,UV
27,419.680,2.326,0.634,Strong,UV_811nm_15000_to_100,811.0,UV
28,912.316,2.305,1.786,Strong,UV_811nm_15000_to_100,811.0,UV
29,851.325,2.162,1.280,Strong,UV_811nm_15000_to_100,811.0,UV
30,445.159,2.093,0.582,Strong,UV_811nm_15000_to_100,811.0,UV
31,603.904,2.057,0.760,Major,UV_811nm_15000_to_100,811.0,UV
32,416.168,2.016,0.358,Major,UV_811nm_15000_to_100,811.0,UV
33,296.830,1.993,1.296,Major,UV_811nm_15000_to_100,811.0,UV
34,382.632,1.943,0.379,Major,UV_811nm_15000_to_100,811.0,UV
35,786.868,1.881,0.460,Major,UV_811nm_15000_to_100,811.0,UV
36,666.506,1.867,0.288,Major,UV_811nm_15000_to_100,811.0,UV
37,782.610,1.854,0.235,Major,UV_811nm_15000_to_100,811.0,UV
38,820.584,1.846,0.262,Major,UV_811nm_15000_to_100,811.0,UV
39,847.046,1.840,0.344,Major,UV_811nm_15000_to_100,811.0,UV
40,682.280,1.838,0.602,Major,UV_811nm_15000_to_100,811.0,UV
41,395.032,1.792,0.341,Major,UV_811nm_15000_to_100,811.0,UV
42,426.905,1.788,0.454,Major,UV_811nm_15000_to_100,811.0,UV
43,673.489,1.774,0.252,Major,UV_811nm_15000_to_100,811.0,UV
44,385.361,1.764,0.397,Major,UV_811nm_15000_to_100,811.0,UV
45,302.210,1.758,0.804,Major,UV_811nm_15000_to_100,811.0,UV
46,399.243,1.754,0.313,Major,UV_811nm_15000_to_100,811.0,UV
47,658.138,1.747,0.505,Major,UV_811nm_15000_to_100,811.0,UV
48,668.500,1.745,0.726,Major,UV_811nm_15000_to_100,811.0,UV
49,621.449,1.742,0.265,Major,UV_811nm_15000_to_100,811.0,UV
50,790.316,1.727,0.440,Major,UV_811nm_15000_to_100,811.0,UV
