Feature,File,Light_Source,Wavelength,Intensity,Point_Type,Feature_Group,Processing,SNR,Feature_Key,Baseline_Used,Norm_Factor,Normalization_Method,Reference_Wavelength_Used,Symmetry_Ratio,Skew_Description,Width_nm,Normalization_Scheme,Reference_Wavelength,Intensity_Range_Min,Intensity_Range_Max
Baseline_Start,189BP2.txt,Halogen,299.46,-20.99,Start,Baseline,Baseline_Then_Halogen_Normalized,-1.3,Baseline_0,-30.64,1.9101828946636519,halogen_650nm_50000_to_100,,,,,Halogen_650nm_50000_to_100,654.755,0.0,100.0
Baseline_End,189BP2.txt,Halogen,349.7,11.35,End,Baseline,Baseline_Then_Halogen_Normalized,-1.3,Baseline_0,-30.64,1.9101828946636519,halogen_650nm_50000_to_100,,,,,Halogen_650nm_50000_to_100,654.755,0.0,100.0
Mound_Start,189BP2.txt,Halogen,373.09,0.45,Start,Mound,Baseline_Then_Halogen_Normalized,,Mound_2,-30.64,1.9101828946636519,halogen_650nm_50000_to_100,654.755,,,,Halogen_650nm_50000_to_100,654.755,0.0,100.0
Mound_Crest,189BP2.txt,Halogen,660.68,99.48,Crest,Mound,Baseline_Then_Halogen_Normalized,,Mound_2,-30.64,1.9101828946636519,halogen_650nm_50000_to_100,654.755,,,,Halogen_650nm_50000_to_100,654.755,0.0,100.0
Mound_End,189BP2.txt,Halogen,981.19,0.12,End,Mound,Baseline_Then_Halogen_Normalized,,Mound_2,-30.64,1.9101828946636519,halogen_650nm_50000_to_100,654.755,,,,Halogen_650nm_50000_to_100,654.755,0.0,100.0
Mound_Summary,189BP2.txt,Halogen,660.68,99.48,Summary,Mound,Baseline_Then_Halogen_Normalized,,Mound_2,,,halogen_650nm_50000_to_100,,0.897,Symmetric,608.1,Halogen_650nm_50000_to_100,654.755,0.0,100.0
