Peak_Number,Wavelength_nm,Intensity,Prominence,Category,Normalization_Scheme,Reference_Wavelength,Light_Source
1,545.916,99.931,98.391,Minor,UV_811nm_15000_to_100,811.0,UV
2,435.642,95.903,93.687,Minor,UV_811nm_15000_to_100,811.0,UV
3,763.370,40.365,37.728,Minor,UV_811nm_15000_to_100,811.0,UV
4,811.028,38.140,35.396,Minor,UV_811nm_15000_to_100,811.0,UV
5,404.380,22.840,20.264,Minor,UV_811nm_15000_to_100,811.0,UV
6,751.442,19.227,15.707,Medium,UV_811nm_15000_to_100,811.0,UV
7,578.802,17.620,15.184,Medium,UV_811nm_15000_to_100,811.0,UV
8,738.321,16.987,14.193,Medium,UV_811nm_15000_to_100,811.0,UV
9,772.276,15.490,11.451,Medium,UV_811nm_15000_to_100,811.0,UV
10,800.871,15.290,11.265,Medium,UV_811nm_15000_to_100,811.0,UV
11,576.653,15.139,5.527,Medium,UV_811nm_15000_to_100,811.0,UV
12,696.294,12.835,9.778,Medium,UV_811nm_15000_to_100,811.0,UV
13,364.895,12.750,10.333,Medium,UV_811nm_15000_to_100,811.0,UV
14,841.751,12.137,9.628,Medium,UV_811nm_15000_to_100,811.0,UV
15,794.577,11.622,8.160,Medium,UV_811nm_15000_to_100,811.0,UV
16,706.525,11.164,7.884,Strong,UV_811nm_15000_to_100,811.0,UV
17,803.511,8.027,0.923,Strong,UV_811nm_15000_to_100,811.0,UV
18,847.250,7.680,3.690,Strong,UV_811nm_15000_to_100,811.0,UV
19,729.452,7.001,3.220,Strong,UV_811nm_15000_to_100,811.0,UV
20,407.505,6.970,1.591,Strong,UV_811nm_15000_to_100,811.0,UV
21,844.195,6.784,0.350,Strong,UV_811nm_15000_to_100,811.0,UV
22,825.466,6.406,3.295,Strong,UV_811nm_15000_to_100,811.0,UV
23,798.231,6.046,0.823,Strong,UV_811nm_15000_to_100,811.0,UV
24,565.339,5.874,2.034,Strong,UV_811nm_15000_to_100,811.0,UV
25,727.237,5.823,2.032,Strong,UV_811nm_15000_to_100,811.0,UV
26,754.473,5.796,0.302,Strong,UV_811nm_15000_to_100,811.0,UV
27,581.344,5.745,0.321,Strong,UV_811nm_15000_to_100,811.0,UV
28,715.164,5.714,1.633,Strong,UV_811nm_15000_to_100,811.0,UV
29,827.500,5.680,0.673,Strong,UV_811nm_15000_to_100,811.0,UV
30,769.644,5.586,1.002,Strong,UV_811nm_15000_to_100,811.0,UV
31,732.273,5.385,0.743,Major,UV_811nm_15000_to_100,811.0,UV
32,644.620,5.381,2.313,Major,UV_811nm_15000_to_100,811.0,UV
33,666.506,5.377,1.806,Major,UV_811nm_15000_to_100,811.0,UV
34,786.868,5.360,1.851,Major,UV_811nm_15000_to_100,811.0,UV
35,741.952,5.355,0.502,Major,UV_811nm_15000_to_100,811.0,UV
36,694.290,5.310,0.486,Major,UV_811nm_15000_to_100,811.0,UV
37,709.136,5.304,0.462,Major,UV_811nm_15000_to_100,811.0,UV
38,623.227,5.288,1.887,Major,UV_811nm_15000_to_100,811.0,UV
39,723.411,5.277,1.750,Major,UV_811nm_15000_to_100,811.0,UV
40,702.912,5.267,1.507,Major,UV_811nm_15000_to_100,811.0,UV
41,912.316,5.265,3.542,Major,UV_811nm_15000_to_100,811.0,UV
42,851.733,5.214,2.544,Major,UV_811nm_15000_to_100,811.0,UV
43,626.193,5.137,1.346,Major,UV_811nm_15000_to_100,811.0,UV
44,683.480,5.121,1.754,Major,UV_811nm_15000_to_100,811.0,UV
45,831.571,5.100,2.217,Major,UV_811nm_15000_to_100,811.0,UV
46,678.282,5.017,1.952,Major,UV_811nm_15000_to_100,811.0,UV
47,757.909,5.015,1.472,Major,UV_811nm_15000_to_100,811.0,UV
48,711.345,5.014,0.987,Major,UV_811nm_15000_to_100,811.0,UV
49,790.113,4.997,1.352,Major,UV_811nm_15000_to_100,811.0,UV
50,805.745,4.997,0.408,Major,UV_811nm_15000_to_100,811.0,UV
