Feature,File,Light_Source,Wavelength,Intensity,Point_Type,Feature_Group,Processing,SNR,Feature_Key,Baseline_Used,Norm_Factor,Normalization_Method,Reference_Wavelength_Used,Symmetry_Ratio,Skew_Description,Width_nm,Normalization_Scheme,Reference_Wavelength,Intensity_Range_Min,Intensity_Range_Max
Baseline_Start,189BC2.txt,Halogen,303.79,21.53,Start,Baseline,Baseline_Then_Halogen_Normalized,3.0,Baseline_0,41.2,4.8289382429985475,halogen_650nm_50000_to_100,,,,,Halogen_650nm_50000_to_100,652.766,0.0,100.0
Baseline_End,189BC2.txt,Halogen,354.9,32.81,End,Baseline,Baseline_Then_Halogen_Normalized,3.0,Baseline_0,41.2,4.8289382429985475,halogen_650nm_50000_to_100,,,,,Halogen_650nm_50000_to_100,652.766,0.0,100.0
Mound_Start,189BC2.txt,Halogen,376.55,0.64,Start,Mound,Baseline_Then_Halogen_Normalized,,Mound_2,41.2,4.8289382429985475,halogen_650nm_50000_to_100,652.766,,,,Halogen_650nm_50000_to_100,652.766,0.0,100.0
Mound_Crest,189BC2.txt,Halogen,652.02,98.96,Crest,Mound,Baseline_Then_Halogen_Normalized,,Mound_2,41.2,4.8289382429985475,halogen_650nm_50000_to_100,652.766,,,,Halogen_650nm_50000_to_100,652.766,0.0,100.0
Mound_End,189BC2.txt,Halogen,970.79,0.17,End,Mound,Baseline_Then_Halogen_Normalized,,Mound_2,41.2,4.8289382429985475,halogen_650nm_50000_to_100,652.766,,,,Halogen_650nm_50000_to_100,652.766,0.0,100.0
Mound_Summary,189BC2.txt,Halogen,652.02,98.96,Summary,Mound,Baseline_Then_Halogen_Normalized,,Mound_2,,,halogen_650nm_50000_to_100,,0.864,Symmetric,594.24,Halogen_650nm_50000_to_100,652.766,0.0,100.0
